smiles,nucleophilicity
CC(C)C(C(C)C)C(=[O:1])C(C)(C)C,-4.915381729
CCC[C:1](=[N+]([O-])[O-])C(C)C,16.5815216
CCC(=[O:1])NCc1ccccc1,-1.990136485
CC(C)OC=[O:1],-4.711171574
CC[O:1]CC(C)(C)C,-3.592667157
CCC(C)[N-:1]C(CC)CC,29.52179287
CC[C:1](=C(CC)[O-])CC,22.33992185
[NH2-:1],27.40008058
CC(C)[C-:1](C)Cc1ccccc1,41.38496495
CCC(C)[C:1](=[N+]([O-])[O-])C,16.44814306
CCCN(C)C(=[O:1])c1ccccc1,0.144783392
CC(=[O:1])OCC(C)(C)C,-6.19550932
CCC(C)[C:1](=C=[N-])CC,24.91008021
C[N:1](C)Cc1ccccc1,10.05950069
CCC[N:1](CCC)c1ccccc1,3.68244948
CCC(C)[C:1](=C=[N-])C(C)C,27.56017001
CCC[NH:1]C(C)(C)C,10.03552681
C[N:1]=Cc1ccccc1,8.395927605
CC(C)C(C(C)C)[O:1]C(C)(C)C,-5.447080502
CC(C)OC(=[O:1])C,-3.021143803
CCC[C-:1](CC)CC,41.71932311
[C-:1]#[N+]CC(C)(C)C,9.277756363
CC(C)(C)C[C:1](=C=[N-])Cc1ccccc1,24.97859987
CC=[NH:1],10.13780538
CC(=[O:1])Oc1ccccc1,-4.874242362
CCCC(=[CH:1]c1ccccc1)[O-],18.06151796
CCN(C)C(=[O:1])C(C)C,-0.739237247
CCC(C(C)C)[C:1](=[N+]([O-])[O-])C,15.64865375
CC(C)[C:1](=C(C)[O-])Cc1ccccc1,19.36839132
CCC(=[C:1](c1ccccc1)C(C)C)[O-],19.89000518
CC(C)C[C:1](=C=[N-])CC(C)(C)C,24.39691035
CC(=[O:1])C(C)(C)C,-2.552689567
CCC[C:1](=C(C)[O-])CC,22.22688729
CCC(C)(C)[O:1]c1ccccc1,-5.474855058
CC(=[O:1])C,-1.844510604
CCC(C(C)C)C(=[O:1])CC,-2.886581264
CCC(C(C)C)C(=[O:1])O,-5.46256519
CC(C)(C)C[C:1](=[N+]([O-])[O-])C(C)(C)C,12.47618606
CCC[C:1](=[N+]([O-])[O-])C(C(C)C)C(C)C,15.83331072
CC(C)NC(=[O:1])c1ccccc1,-1.332601065
CCCC(=[O:1])OC,-4.315006706
CC[O:1]CC(C)C,-2.897137456
CCC(CC)[C-:1](C)[N+]#N,8.872437372
CCC[C-:1](C)Cc1ccccc1,40.45498568
CCCC(=[N:1]CC)CC,11.22432439
c1ccc(cc1)[NH-:1],21.49842562
CCC(C)[C:1](=C=[N-])CC(C)(C)C,25.16240901
CC[CH-:1]CC,40.28906517
CCN(c1ccccc1)C(=[O:1])C,-1.304413851
CCC[C:1](=[N+]([O-])[O-])C,16.46986836
C[C:1](=[N+]([O-])[O-])Cc1ccccc1,17.38885072
CCC[CH-:1]Cc1ccccc1,40.12769084
CCCC(=[N:1]CCC)C(C)C,9.654086978
CCC[C:1](=C=[N-])C(CC)C(C)C,25.21227134
CCC(C)[C:1](=[N+]([O-])[O-])CC,14.26704421
CC(C)[CH-:1][N+]#N,9.695585713
CCCN(CC)C(=[O:1])C,1.542451879
CC(=[N:1]C)c1ccccc1,9.618278491
CC(C)C[C-:1](C(C(C)C)C(C)C)[N+]#N,5.319255482
CCC(CC)[N-:1]CC(C)(C)C,31.49600554
CC(C)C[C-:1](C)C(C)C,41.116598
CC[C-:1](C(C)(C)C)[N+]#N,8.893535952
CCC(C(C)C)[C:1](=[N+]([O-])[O-])CC(C)(C)C,14.66934685
c1ccc(cc1)CC=[O:1],-5.506849035
[C:1](C(C)CC)(C#N)=C=[N-],13.18291163
CCC(C)C(=[O:1])C(C(C)C)C(C)C,-4.484915151
CCC[C:1](=C=[N-])CCC,27.07872553
CC(C)(C)CC=[O:1],-4.371362738
CCC(C)C(=[O:1])Cc1ccccc1,-3.769311018
CCC[N:1]=CCc1ccccc1,8.955604848
CC[O:1]c1ccccc1,-6.57884224
CC(C)C[C-:1](CC(C)C)[N+]#N,6.252725473
CC[C:1](=C=[N-])CC(C)C,25.18282693
CC[C-:1](Cc1ccccc1)[N+]#N,9.001934586
CC[C:1](=[N+]([O-])[O-])C,17.75311536
CCC(C(C)C)[NH-:1],31.19010487
c1ccc(cc1)C[C:1](=[N+]([O-])[O-])Cc2ccccc2,15.82649213
[C:1](CC)(C#N)=C=[N-],13.31455434
CCC(=[O:1])C(C)C,-2.224576982
[N:1]#CC(C)(C)C,-0.208581288
CCC(C)[C-:1](C)[N+]#N,8.080847732
CCC(=[O:1])NCC,-1.508716153
CCCC(=[O:1])C(C(C)C)C(C)C,-3.777318022
CCC(C(C)C)C(=[O:1])OCC,-4.416567245
CCC(C(C)C)[C:1](=[N+]([O-])[O-])Cc1ccccc1,13.03563809
CCC(CC)C(=[O:1])C(C)(C)C,-4.134982804
CC(C)(C)[C:1](=[N+]([O-])[O-])Cc1ccccc1,15.08235236
CCC[CH-:1]CC(C)C,40.89918152
CC(C)C(C(C)C)[C:1](=[N+]([O-])[O-])c1ccccc1,9.901719106
CCC(C=[O:1])C(C)C,-4.960516515
